claim_id,policy_id,claim_type,claim_amount,days_since_policy_start,num_prior_claims,incident_report_delay_days,is_weekend_claim,claim_channel,fraud_label
200001,52306,Motor,1171.62,42,0,4,0,Phone,0
200002,50795,Motor,1192.21,3024,2,6,1,Phone,0
200003,55049,Travel,3567.16,2241,1,6,0,Phone,0
200004,52126,Motor,1311.54,970,0,4,0,Phone,0
200005,55662,Motor,1237.59,3538,1,0,0,Broker,0
200006,51460,Motor,6705.69,604,0,5,1,Phone,0
200007,51990,Motor,1411.26,1067,3,4,0,Phone,0
200008,50029,Motor,3183.48,114,0,4,0,Online,0
200009,52691,Home,2017.59,3214,0,3,0,Broker,0
200010,54535,Home,1885.14,3123,2,6,0,Phone,0
200011,51052,Home,1345.32,229,2,5,0,Broker,0
200012,54858,Home,1077.33,1655,1,4,0,Phone,0
200013,52657,Motor,3762.01,2436,2,6,0,Online,0
200014,51160,Travel,4620.24,1646,2,3,0,Online,0
200015,54720,Motor,2740.91,3366,2,3,1,Online,0
200016,50917,Travel,1179.38,1977,2,1,0,Online,1
200017,54514,Motor,7989.15,72,0,5,0,Online,0
200018,55415,Home,1129.62,1836,0,6,0,Phone,1
200019,55146,Home,2931.98,2309,1,6,0,Online,0
200020,53397,Motor,2458.28,594,0,2,0,Online,0
200021,55108,Home,552.26,3597,0,2,1,Phone,0
200022,55745,Motor,693.07,343,0,2,0,Broker,1
200023,51853,Home,4236.42,2159,1,2,0,Phone,0
200024,51787,Motor,2827.56,444,2,2,1,Online,0
200025,50202,Home,3316.87,2494,0,4,0,Phone,1
200026,53189,Motor,2239.53,3117,0,1,1,Online,0
200027,53120,Travel,597.96,99,0,3,0,Online,0
200028,55534,Home,5502.59,1581,2,4,0,Online,0
200029,54757,Motor,3994.26,3511,2,2,0,Online,0
200030,52410,Motor,1574.98,39,1,4,0,Broker,1
200031,53424,Motor,1653.07,36,1,8,0,Online,0
200032,55959,Motor,1303.88,968,0,4,0,Online,0
200033,54023,Motor,3359.04,2015,0,2,1,Phone,1
200034,51274,Motor,1580.63,1748,1,3,1,Online,0
200035,54393,Motor,2755.09,3165,2,5,1,Phone,1
200036,51270,Home,8117.04,2841,0,2,0,Phone,0
200037,51985,Motor,2642.62,2552,1,3,0,Online,0
200038,50976,Home,4036.99,949,3,4,1,Broker,0
200039,55636,Home,3172.48,1307,4,6,0,Phone,0
200040,54389,Motor,3549.58,3112,1,4,0,Online,0
200041,52530,Motor,4798.21,2511,2,9,0,Online,0
200042,51958,Motor,684.49,2020,1,5,0,Broker,1
200043,53722,Home,1018.53,1899,2,5,0,Online,0
200044,55170,Home,3928.5,2235,0,2,0,Online,0
200045,51492,Home,1249.21,1009,0,3,0,Phone,0
200046,52275,Home,3130.16,867,0,4,1,Broker,0
200047,50292,Motor,2622.38,378,1,5,0,Online,0
200048,53289,Motor,1898.89,3294,1,3,1,Phone,0
200049,51336,Home,2035.2,1185,4,6,1,Online,0
200050,50260,Motor,1869.35,2443,1,4,0,Phone,0
200051,50074,Motor,1115.38,262,1,2,1,Online,0
200052,53367,Motor,774.52,2170,2,1,0,Online,0
200053,51313,Home,2219.75,2410,1,3,0,Broker,0
200054,50366,Home,2250.46,576,3,4,0,Online,0
200055,51083,Motor,2427.19,3238,0,3,0,Phone,0
200056,50535,Home,1298.46,942,2,1,1,Phone,0
200057,55081,Motor,2793.24,3502,3,2,0,Online,1
200058,51104,Home,1933.12,44,2,3,1,Phone,0
200059,54172,Motor,1569.73,2705,1,4,0,Online,0
200060,50140,Home,2033.61,3224,1,2,1,Phone,0
200061,53981,Home,2433.46,2348,1,4,1,Phone,0
200062,51551,Motor,6766.89,1123,0,1,0,Phone,0
200063,53464,Motor,2473.9,1702,0,5,1,Online,0
200064,53873,Motor,1328.89,3330,2,2,0,Online,0
200065,53779,Motor,2872.63,829,2,3,1,Online,0
200066,52337,Motor,587.44,3609,0,3,0,Online,0
200067,50725,Travel,4906.02,466,1,3,0,Online,0
200068,51488,Motor,177.77,1459,1,4,0,Phone,0
200069,50911,Home,958.41,1737,0,2,1,Phone,0
200070,53116,Motor,7746.92,2603,1,10,0,Online,0
200071,53490,Home,3577.11,195,2,4,1,Phone,0
200072,54431,Travel,711.08,2020,0,5,0,Phone,1
200073,52301,Travel,8014.37,1059,1,1,0,Online,0
200074,50479,Home,2690.62,642,1,5,0,Phone,1
200075,53380,Motor,834.37,3444,0,2,0,Online,1
200076,51137,Motor,1403.61,3438,1,3,0,Online,0
200077,54285,Home,633.42,2725,0,3,0,Broker,1
200078,51044,Travel,7285.43,587,2,5,1,Broker,0
200079,52563,Home,534.85,1075,0,7,0,Phone,0
200080,55722,Motor,915.05,1353,1,4,0,Phone,0
200081,53142,Home,1548.09,3580,0,6,0,Online,0
200082,54006,Motor,1552.41,2192,0,4,0,Online,0
200083,50365,Home,2884.59,916,1,3,0,Phone,0
200084,50250,Motor,2289.36,2135,1,4,0,Online,0
200085,55336,Travel,1647.01,1467,0,1,0,Online,0
200086,55553,Travel,3492.03,2963,1,1,0,Online,0
200087,50790,Home,1332.91,2283,0,5,0,Broker,0
200088,54326,Home,3144.12,1043,0,2,0,Online,0
200089,53068,Travel,1324.28,2503,1,1,0,Online,1
200090,54830,Travel,10284.36,1178,1,2,0,Phone,1
200091,52450,Home,2162.06,1096,0,5,0,Phone,0
200092,52467,Home,1737.68,2699,1,6,1,Online,0
200093,51294,Motor,1630.47,3559,0,5,0,Online,0
200094,55847,Motor,2388.77,1156,1,4,0,Broker,1
200095,50370,Travel,4488.89,2574,3,4,0,Online,0
200096,54182,Home,1004.52,3632,0,6,0,Online,0
200097,54516,Motor,2426.41,1009,0,2,0,Online,0
200098,51364,Home,1951.31,610,3,6,0,Online,1
200099,51289,Motor,2587.06,3466,0,1,0,Online,0
200100,54644,Motor,2281.11,33,1,3,0,Phone,0
200101,52402,Home,4476.77,1805,0,6,1,Phone,0
200102,55007,Home,285.84,3547,1,1,0,Broker,0
200103,51120,Motor,3294.62,979,3,1,1,Phone,0
200104,55725,Home,1553.61,144,1,2,1,Phone,0
200105,54119,Motor,4915.34,982,2,3,0,Online,0
200106,54605,Motor,3583.04,1171,4,5,0,Online,1
200107,51123,Motor,3417.8,2283,0,3,0,Broker,1
200108,50769,Motor,2187.98,3591,1,3,0,Phone,0
200109,50183,Motor,1404.38,2813,2,3,0,Online,1
200110,51527,Home,1896.37,3598,2,5,1,Phone,0
200111,53709,Motor,1609.83,3466,2,3,0,Broker,0
200112,52669,Motor,3888.92,2616,0,4,0,Online,0
200113,53968,Home,4268.11,2985,0,6,1,Broker,0
200114,51353,Motor,2326.51,1398,2,2,0,Phone,0
200115,52321,Home,5614.32,3609,0,4,1,Online,0
200116,51498,Motor,3823.58,1097,2,4,1,Online,0
200117,53543,Motor,1878.71,2869,0,5,1,Online,0
200118,52138,Motor,2047.36,3156,1,2,0,Online,0
200119,55218,Home,3646.88,416,2,7,0,Phone,0
200120,53909,Motor,684.18,187,0,4,0,Phone,0
200121,50576,Travel,329.97,481,1,6,0,Online,0
200122,53339,Travel,3427.24,3520,2,1,0,Online,0
200123,54306,Motor,2878.87,2697,2,4,0,Phone,1
200124,52518,Motor,4073.18,2100,1,3,0,Online,0
200125,50379,Travel,1187.97,3291,3,4,0,Online,0
200126,52368,Home,8164.01,1689,1,5,1,Online,1
200127,50317,Home,1207.86,2151,0,1,0,Online,0
200128,53519,Motor,873.92,1684,0,0,1,Online,0
200129,55684,Motor,2672.27,673,0,3,0,Online,0
200130,50203,Motor,1801.15,82,1,4,0,Online,0
200131,53466,Home,2492.05,1782,1,7,0,Phone,0
200132,50417,Motor,3860.09,567,0,5,0,Online,0
200133,50744,Home,636.59,2092,0,4,0,Broker,0
200134,51929,Home,464.38,2385,1,2,0,Online,0
200135,53121,Home,4153.45,3648,2,3,1,Online,0
200136,54059,Home,2225.06,2311,2,2,0,Phone,1
200137,55958,Motor,645.21,59,1,4,0,Phone,1
200138,52684,Home,1874.27,918,1,2,0,Online,0
200139,54702,Home,2043.97,457,1,6,0,Online,1
200140,54531,Home,912.86,2000,1,1,0,Broker,0
200141,54551,Home,2550.71,124,0,3,0,Broker,0
200142,53772,Motor,3171.09,983,0,6,1,Online,0
200143,54971,Travel,1442.97,2634,3,5,0,Phone,0
200144,54361,Home,281.29,1645,2,3,0,Online,0
200145,55786,Motor,863.92,470,1,4,0,Online,0
200146,53549,Motor,1909.81,3135,2,8,0,Broker,1
200147,51761,Motor,1193.5,2308,2,2,0,Phone,1
200148,54007,Motor,2040.85,524,2,4,1,Phone,0
200149,50048,Motor,4436.91,109,3,4,1,Phone,0
200150,53314,Motor,1776.62,2190,1,5,0,Online,0
200151,50298,Motor,1154.57,2231,1,6,0,Broker,0
200152,53282,Home,2691.32,3252,1,2,0,Phone,0
200153,52606,Motor,4437.22,2208,0,3,1,Online,0
200154,51487,Motor,3223.01,2873,1,7,1,Phone,1
200155,50117,Travel,2559.43,291,1,0,1,Broker,0
200156,55085,Motor,631.54,2304,2,2,0,Online,1
200157,51422,Motor,2692.87,1235,1,2,0,Phone,0
200158,54022,Motor,5610.25,1466,2,4,0,Online,0
200159,54788,Home,809.82,1419,1,6,1,Phone,0
200160,52021,Motor,1958.11,2128,2,7,1,Online,0
200161,51619,Home,4932.88,425,1,3,0,Broker,0
200162,55250,Motor,1568.08,3436,2,3,0,Phone,1
200163,53703,Travel,3583.33,871,1,1,0,Online,0
200164,52894,Motor,1769.49,357,0,4,0,Phone,0
200165,54364,Motor,4921.48,1863,0,3,0,Online,0
200166,50745,Motor,1317.9,2770,2,3,1,Online,0
200167,50229,Travel,1550.43,2498,0,5,0,Online,0
200168,51263,Motor,4701.85,461,0,6,1,Online,0
200169,51823,Home,5325.53,2425,0,6,1,Broker,0
200170,54729,Motor,976.36,1077,2,4,0,Broker,0
200171,52272,Travel,1469.49,1529,1,2,0,Online,1
200172,52012,Motor,3461.1,1901,3,3,1,Phone,0
200173,50014,Home,3769.06,1500,1,5,1,Online,0
200174,55087,Home,2767.53,2341,2,3,0,Phone,0
200175,52215,Motor,1245.65,2179,0,12,0,Phone,0
200176,55741,Home,2323.16,632,0,6,1,Online,0
200177,53255,Travel,4855.02,2145,1,4,1,Online,0
200178,51947,Home,1494.84,2279,1,8,0,Phone,0
200179,53177,Motor,4051.64,3413,1,3,0,Phone,0
200180,54494,Home,1169.57,483,3,3,0,Phone,0
200181,53415,Motor,575.4,3417,0,5,1,Broker,0
200182,52117,Home,5224.59,1007,4,2,1,Broker,0
200183,53413,Motor,2152.86,104,2,5,0,Phone,0
200184,54046,Motor,4397.05,2680,1,2,1,Online,0
200185,52964,Motor,1898.39,2107,0,6,1,Phone,1
200186,51683,Travel,1094.28,41,1,3,1,Broker,0
200187,54846,Motor,3696.51,447,2,5,1,Broker,1
200188,50186,Home,1982.27,165,1,3,0,Online,0
200189,52650,Motor,6134.42,3462,1,5,0,Broker,0
200190,51824,Motor,1262.75,2086,2,3,1,Phone,0
200191,50451,Travel,173.02,366,0,3,0,Broker,0
200192,55845,Motor,2981.23,1534,3,7,0,Online,0
200193,52716,Motor,3086.19,1897,1,2,0,Broker,0
200194,55623,Home,808.16,558,1,1,0,Online,0
200195,52801,Motor,571.29,3569,1,2,1,Online,0
200196,52350,Motor,4060.92,1389,0,11,1,Online,1
200197,50232,Home,1005.91,3385,2,5,0,Online,0
200198,53249,Motor,941.51,632,1,2,0,Online,0
200199,53380,Motor,1190.77,2820,0,4,0,Phone,0
200200,50687,Motor,2544.43,2566,1,6,1,Online,0
200201,52864,Motor,2437.4,2827,1,7,0,Online,1
200202,51768,Home,1473.58,2372,3,3,0,Phone,1
200203,51941,Home,3909.64,3518,3,5,0,Online,0
200204,55349,Home,959.53,1630,3,1,0,Online,0
200205,50872,Motor,1995.57,2843,0,4,0,Online,1
200206,55904,Motor,556.89,841,0,5,0,Phone,0
200207,51320,Home,954.7,2589,0,4,0,Online,0
200208,54492,Motor,2554.33,1913,2,6,0,Broker,0
200209,51687,Motor,7467.56,2782,3,5,0,Phone,0
200210,53193,Motor,2934.59,1753,0,1,1,Broker,0
200211,50086,Motor,4783.0,3486,2,4,0,Online,1
200212,51546,Motor,1431.56,1242,1,4,0,Online,1
200213,53812,Travel,1194.21,1130,0,5,1,Online,1
200214,55231,Motor,1984.88,3104,0,1,1,Broker,0
200215,50991,Travel,1364.08,3448,0,1,0,Online,0
200216,52595,Travel,3459.1,2923,0,5,0,Broker,1
200217,51847,Motor,2736.18,2319,3,4,0,Phone,0
200218,53098,Motor,2826.77,3579,1,4,0,Online,0
